검색어,기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
신원건설,신원종합건설㈜,중소기업,경기 시흥시,건설·시공·토목·조경,"5억 3,000만원(2023.12.31)",34억 7천만원(2023.12.31),김영록,2018.03.05(8년차)
신원건설,신원종합건설㈜,중소기업,충남 홍성군,건물 건설업,5억원(2024.12.31),107억 1천만원(2024.12.31),서명희,2015.06.05(11년차)
신원건설,신원이엔지종합건설㈜,중소기업,서울 송파구,기타 토목시설물 건설업,-,-,신원식,2016.04.22(10년차)
신원건설,신원건설,개인,인천 서구,건설장비 운영업,-,-,안시연,-
금용건설,-,-,-,-,-,-,-,-
조은날,조은날,중소기업,경기 남양주시,운동 및 경기용품 소매업,2억원(2024.12.31),29억 7백만원(2024.12.31),구태회,2014.08.12(12년차)
조은날,조은날,중소기업,경기 용인시,주거용 건물 개발 및 공급업,"3,000만원(2022.12.31)","3억 9,932만원(2022.12.31)",윤지은,2020.01.17(6년차)
조은날,함께하는그날협동(조),중소기업,제주 제주시,그 외 기타 분류 안된 섬유제품 제조업,1억원(2024.12.31),"4억 3,550만원(2024.12.31)",이경미,2017.04.25(9년차)
조은날,조은날,-,-,-,-,-,박태성,-
조은날,조은날,중소기업,부산 부산진구,"도배, 실내장식 및 내장 목공사업",-,-,박수일,2007.09.05(19년차)
조은날,조은날,개인,광주 서구,한식 음식점업,-,-,소창석,-
티피엠에스,티피엠에스,벤처기업,경기 군포시,전기·전자·제어,-,-,김동조,2010.03.26(16년차)
세븐일레븐일산동주점,-,-,-,-,-,-,-,-
중부토건,-,-,-,-,-,-,-,-
대덕폐차사업소,-,-,-,-,-,-,-,-
신동와인(주)청담점,-,-,-,-,-,-,-,-
월급날,월급날,중소기업,서울 영등포구,솔루션·SI·CRM·ERP,"7억 5,000만원",50억,박춘자,2000.10.28(26년차)
